compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes
Diltiazem Hydrochloride,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,62920.0,3.75,PubChem,PubChem: Half Life: 3.0 - 4.5 hours
Tesaglitazar,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,208901.0,,,
Atovaquone,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,74989.0,35.3,FDA,FDA label: half-life of atovaquone was 62.5 ± 35.3 hours
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,135398513.0,5.0,PubChem,PubChem: half life of acyclovir during hemodialysis is approximately 5 hours
Melperone,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,15387.0,6.0,PubChem,PubChem: half-life has been found to be approximately 6 hours
Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,657309.0,1.6,FDA,FDA label: half-life of elimination is about 1.6 hours
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4095.0,10.0,PubChem,PubChem: t 10 hours
Faropenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12,65894.0,,,
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,149096.0,8.0,PubChem,PubChem: half-life of levofloxacin ranges from approximately 6 to 8 hours
Piroximone,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1,55263.0,,,
OR-1896,CC(=O)Nc1ccc(C2=NNC(=O)C[C@H]2C)cc1,9816296.0,,,
Tropatepine,CN1C2CCC1CC(=C1c3ccccc3CSc3ccccc31)C2,3034047.0,,,
Menogaril,CO[C@@H]1C[C@@](C)(O)Cc2cc3c(c(O)c21)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@]2(C)[C@@H](O)[C@@H](N(C)C)[C@@H]1O,5288818.0,,,
Tazarotene,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,5381.0,18.0,PubChem,"PubChem: half-life of the active form of the drug, tazarotenic acid, is approximately 18 hours"
Ciclesonide,CC(C)C(=O)OCC(=O)[C@]12O[C@@H](C3CCCCC3)O[C@@H]1C[C@@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,6918155.0,0.71,FDA,FDA label: half-life of ciclesonide and des-ciclesonide was 0.71 hours
Chlordiazepoxide,C/N=C1/CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,2712.0,,,
Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,5394.0,1.8,PubChem,PubChem: half-life than in buffer (1 versus 1.8 hours
